"Name","Dragon.Year","Sex","Time.in.pop","AgeClass","ActiveFungus","InfectedDensity.Annual","Name2"
"Acer",2014,"Male",1326.8,"Adult",0,8.07064245598137e-05,"Acer"
"Adrian",2014,"Male",764,"Adult",0,0.000188798166900909,"Adrian"
"Africa",2014,"Male",776.484848484848,"Adult",0,8.37850429708912e-11,"Africa"
"Aladdin",2014,"Female",726.888888888889,"Adult",0,0,"Aladdin"
"Albert",2014,"Male",1324.14285714286,"Adult",0,4.43689351347452e-05,"Albert"
"Aliona",2014,"Female",31,"Juvenile",0,0,"Aliona"
"Angie",2014,"Female",1282.5,"Adult",0,0,"Angie"
"Angus",2014,"Male",1323,"Adult",0,0,"Angus"
"Apple",2014,"Female",748.9,"Adult",0,0,"Apple"
"Apricot",2014,"Female",1299.03448275862,"Adult",0,0.000110146941218536,"Apricot"
"Armeisen",2014,"Male",649.1,"Adult",0,0.000168827991143241,"Armeisen"
"Aslan",2014,"Male",367,"Adult",0,0.000447514680962542,"Aslan"
"Asterix",2014,"Male",746,"Adult",0,0.000158497235663053,"Asterix"
"Athena",2014,"Female",740,"Adult",0,0,"Athena"
"Barron",2014,"Male",1320,"Adult",0,0.000298154093074458,"Barron"
"Beans",2014,"Female",1447.4375,"Adult",0,0,"Beans"
"Beast",2014,"Male",581.2,"Adult",0,0.00016353935320216,"Beast"
"Bec",2014,"Female",798.615384615385,"Adult",0,1.7140988498383e-05,"Bec"
"Beth",2014,"Female",630,"Adult",0,0.000242587076175712,"Beth"
"Bev",2014,"Female",40,"Juvenile",0,6.89867824397181e-06,"Bev"
"Binky",2014,"Female",1329.64285714286,"Adult",0,0.000120677320791067,"Binky"
"Blab",2014,"Female",5.5,"Adult",0,4.86098791663076e-05,"Blab"
"Blip",2014,"Female",1023.5,"Adult",0,0.000174263150307409,"Blip"
"Bo",2014,"Male",1328.86666666667,"Adult",0,0.00016115231178636,"Bo"
"Bogart",2014,"Female",749.333333333333,"Adult",0,0.000429084559530777,"Bogart"
"Bongo",2014,"Male",1331.25,"Adult",0,0.000114688712555807,"Bongo"
"Broccoli",2014,"Female",759.5,"Juvenile",0,2.22156193113826e-07,"Broccoli"
"Brock",2014,"Male",587.166666666667,"Adult",0,2.31002130216355e-05,"Brock"
"Bub",2014,"Male",408.05,"Adult",0,0,"Bub"
"Buddy",2014,"Male",1321.64516129032,"Adult",0,0.000140346953284484,"Buddy"
"Burrito",2014,"Male",15,"Adult",0,0,"Burrito"
"Cashew",2014,"Male",1243.05555555556,"Adult",0,1.38201602967553e-05,"Cashew"
"Cesc",2014,"Male",765.846153846154,"Adult",0,0.000138826286124655,"Cesc"
"Chandy",2014,"Female",1025,"Adult",0,0.000158557280595132,"Chandy"
"Chip",2014,"Male",1290,"Adult",0,0.000177010606116087,"Chip"
"Chuck",2014,"Male",351.333333333333,"Adult",0,1.8094020693059e-05,"Chuck"
"Claire",2014,"Female",569,"Adult",0,0.000158680354059553,"Claire"
"Clover",2014,"Male",1334.1,"Adult",0,0.000136628944494152,"Clover"
"Coke",2014,"Male",731,"Adult",0,0,"Coke"
